7.0	3.0	9.0	4.0	9.0	7.0	0.0	3.0	9.0	8.0	4.0	1.0	3.0	5.0	0.0	9.0	4.0	1.0	1.0	7.0	3.0	0.0	0.0	7.0	2.0	5.0	4.0	9.0	2.0	1.0	7.0	9.0	6.0	7.0	1.0	4.0	7.0	6.0	1.0	8.0	8.0	0.0	3.0	5.0	7.0	1.0	7.0	2.0	6.0	1.0	4.0	1.0	0.0	1.0	0.0	3.0	3.0	8.0	2.0	5.0	2.0	7.0	8.0	9.0	7.0	0.0	9.0	5.0	0.0	3.0	8.0	4.0	4.0	7.0	5.0	3.0	7.0	4.0	5.0	3.0	0.0	8.0	3.0	2.0	8.0	5.0	2.0	4.0	3.0	0.0	2.0	1.0	6.0	7.0	3.0	2.0	8.0	3.0	9.0	5.0	
0.0	-2.9	-8.6	-2.1	-9.6	-2.0	1.0	1.1	-4.6	-9.3	-1.1	0.7	-0.9	1.6	9.0	-10.6	-0.1	3.7	7.7	-5.0	-3.9	5.0	8.0	-2.0	4.4	1.6	-5.1	-9.6	0.4	-1.3	-7.0	-7.6	-6.7	-6.0	1.7	-4.1	-3.0	-7.7	5.7	-5.3	-7.3	4.0	4.1	1.6	-2.0	4.7	-7.0	4.4	-7.7	1.7	2.9	5.7	4.0	0.7	8.0	-0.9	-3.9	-1.3	-2.6	1.6	6.4	-2.0	-9.3	-5.6	-8.0	5.0	-11.6	1.6	9.0	-1.9	-4.3	-1.1	1.9	-8.0	0.6	2.1	0.0	-2.1	1.6	0.1	6.0	-5.3	-3.9	3.4	-8.3	-6.4	1.4	-5.1	-2.9	5.0	-0.6	1.7	-4.7	-9.0	-0.9	4.4	-1.3	4.1	-8.6	-1.4	
0.0	0.0	-15.0	-1.5	-10.7	0.6	2.7	-1.2	-4.2	-6.5	-3.8	6.5	3.4	3.1	8.3	-7.4	-2.1	7.6	8.4	-10.5	-0.7	7.5	7.6	-2.4	7.1	5.1	-2.6	-11.7	1.3	-1.9	-7.9	-10.3	-9.7	-2.2	2.2	-0.9	-5.1	-10.4	9.0	-4.7	-4.1	6.8	6.9	1.1	-3.4	10.3	-3.9	6.1	-11.4	8.2	3.0	12.0	2.8	-0.5	12.6	0.4	1.3	-8.9	1.2	-0.9	6.5	-8.4	-5.5	-4.9	-9.6	9.5	-9.1	3.1	15.3	1.7	-2.0	4.2	3.3	-7.6	4.4	6.5	-4.0	1.5	-2.9	-2.9	6.2	-6.7	1.3	1.4	-10.8	-1.5	0.0	-1.6	-1.0	7.5	4.6	0.2	-7.3	-4.3	5.4	4.1	-8.9	4.9	-8.0	1.0	
0.0	0.0	0.0	-0.6	-2.2	-5.0	2.7	-0.1	-4.3	-7.9	5.7	-0.1	-2.8	2.7	6.1	-13.5	-0.6	2.5	7.6	1.8	-4.5	3.0	8.5	-6.2	3.0	-5.2	-7.2	-0.3	0.6	2.4	2.0	-0.2	-2.1	-2.1	0.1	-7.6	-3.8	1.3	3.6	-0.8	-7.8	0.5	4.0	2.6	1.8	1.2	-2.8	5.9	-1.8	-0.5	1.2	0.8	10.2	9.5	-2.2	5.0	-0.4	7.9	-2.9	1.4	7.9	-0.6	-7.9	-8.8	2.4	3.1	-5.1	-0.3	-1.5	0.6	-8.1	-8.7	-3.3	0.5	-7.7	2.9	3.7	-0.4	5.3	0.3	4.4	-6.9	-6.4	9.1	-5.7	-3.6	6.0	-2.1	-3.1	5.0	-2.7	9.0	-3.0	-9.8	-1.6	3.8	5.9	4.8	-9.5	-4.9	
0.0	0.0	0.0	0.0	1.3	15.6	-4.8	3.8	12.3	13.0	-10.3	3.0	3.4	-9.4	-8.7	25.6	-0.1	-3.4	-7.1	-3.0	7.8	3.0	-10.4	16.6	-4.4	10.6	19.4	-6.2	3.3	-1.9	-7.9	-6.3	5.8	6.3	8.7	21.6	7.9	-2.4	-4.0	-1.2	18.4	5.8	-6.6	-4.4	-8.9	-3.2	-1.4	-9.4	3.6	5.2	1.0	5.0	-19.2	-18.5	16.6	-8.1	3.8	-15.4	6.7	-3.9	-10.0	0.6	13.5	22.1	-4.1	-4.0	6.4	-0.9	8.8	2.7	14.0	26.2	15.3	-4.1	20.4	-1.5	-12.0	1.5	-13.9	-1.4	-1.3	15.8	11.8	-15.6	6.7	5.5	-6.0	4.4	10.0	-2.0	12.6	-12.8	8.7	16.7	4.9	-7.4	-10.4	-6.1	16.5	8.0	
0.0	0.0	0.0	0.0	0.0	19.5	-7.8	8.7	23.7	23.8	-18.7	3.8	7.0	-14.2	-14.2	49.3	1.2	-5.9	-17.3	2.0	15.6	6.0	-18.2	33.3	-12.6	22.7	31.6	-10.8	5.0	0.9	-8.9	-5.6	10.0	11.4	10.9	38.3	15.1	-3.0	-14.8	-6.4	32.2	10.1	-15.9	-6.5	-12.9	-7.4	-1.3	-19.5	9.2	2.5	-2.2	2.3	-34.2	-30.8	21.2	-13.6	0.6	-26.3	16.0	-2.3	-18.8	6.7	23.5	42.0	-8.6	-6.4	13.7	1.4	12.2	6.0	28.5	42.9	28.1	-9.9	37.1	-13.0	-20.5	-4.1	-21.2	2.0	-6.7	26.7	21.7	-31.7	18.2	13.1	-13.0	9.5	14.6	-6.5	22.1	-28.4	16.5	34.4	0.5	-12.0	-13.8	-17.6	28.9	14.2	
0.0	0.0	0.0	0.0	0.0	0.0	-22.8	27.7	70.1	103.0	-75.4	-5.1	37.6	-28.6	-59.5	205.4	17.6	-29.3	-125.7	38.1	73.9	-9.5	-88.2	122.6	-79.7	104.4	75.2	-18.7	-0.9	13.1	8.2	37.5	24.5	25.8	-18.4	113.6	62.3	-11.5	-105.7	-43.4	98.2	9.3	-86.3	-19.4	-12.5	-32.2	27.5	-99.7	46.5	-46.3	-46.7	-58.5	-123.8	-96.6	-14.2	-58.8	-44.2	-93.4	80.5	18.2	-98.6	51.8	84.7	139.2	-47.7	-29.1	75.0	26.4	2.1	14.8	132.0	95.8	64.1	-40.2	116.1	-127.7	-53.7	-61.2	-47.1	34.2	-79.8	77.3	87.0	-150.4	119.5	73.3	-87.0	42.2	24.2	-76.7	44.3	-153.1	48.1	160.2	-52.1	-37.3	-37.2	-120.4	108.0	53.2	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	17.2	17.8	-15.3	-2.7	13.9	-0.5	-16.6	40.1	5.8	-9.0	-21.0	10.0	12.4	-10.5	-23.4	20.1	-15.4	11.3	20.5	4.8	-4.9	6.3	8.4	3.9	12.6	7.2	-2.9	14.0	4.6	2.9	-14.5	0.7	22.1	0.8	-18.1	-3.2	-2.6	-4.7	10.6	-19.1	8.4	-8.4	-5.6	-9.9	-19.3	-16.4	-11.6	-3.9	-2.6	-23.0	17.8	5.3	-23.6	12.7	23.8	24.9	0.6	-9.3	19.6	1.5	-1.7	2.7	17.6	12.3	7.2	-5.5	20.0	-19.5	-12.0	-0.8	-8.6	3.2	-14.3	11.7	19.3	-24.1	19.2	15.5	-12.2	13.3	7.8	-17.7	6.2	-27.5	15.4	28.3	-5.1	-10.7	-5.9	-19.2	20.1	9.7	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-46.0	-44.0	37.7	2.4	-31.6	-0.9	38.4	-92.4	-8.4	16.3	51.0	-32.2	-29.6	19.3	51.2	-48.5	40.2	-22.7	-41.0	-11.2	10.5	-20.2	-21.2	-12.8	-25.9	-25.1	11.7	-37.4	-6.9	-10.6	41.8	-3.3	-55.5	1.2	39.4	11.6	6.0	11.0	-28.9	43.0	-19.6	15.9	14.2	25.4	44.7	41.4	32.3	0.7	4.0	52.0	-40.4	-15.0	53.5	-28.1	-57.8	-61.4	-3.7	16.1	-45.0	-0.7	5.0	-11.1	-43.0	-31.6	-20.5	8.3	-47.8	45.2	30.2	-0.5	18.7	-7.7	37.4	-28.2	-41.0	57.9	-46.6	-39.3	25.0	-33.1	-6.8	35.1	-21.7	66.2	-32.9	-74.3	14.1	29.9	12.8	44.1	-42.7	-22.4	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.5	-1.0	0.8	0.6	-0.4	6.9	-8.0	5.1	2.5	3.3	1.5	-2.8	-6.4	-4.9	-3.7	4.3	-1.7	3.5	0.3	4.5	-2.5	-5.7	-2.7	0.0	-8.8	1.5	-3.9	-0.1	3.2	0.4	2.2	-5.4	-5.3	5.5	0.7	2.4	-5.9	-7.0	-0.2	-1.3	5.4	7.9	0.2	-0.7	-8.8	3.6	-2.5	3.7	-3.2	-3.2	0.1	-2.2	2.5	-2.7	-5.9	-6.1	-4.5	-11.4	-8.2	1.4	-3.0	0.3	1.8	2.5	-2.9	0.4	7.4	4.3	1.4	3.3	-1.0	7.2	4.9	-7.5	6.3	-0.4	-6.2	-1.6	-8.2	-4.9	3.5	-6.9	3.0	-3.4	-2.2	6.6	0.1	-1.4	9.8	-0.6	-3.1	
